,reductant,reductant_C,ligand_Z,temperature,catalyst_C,cat2lig,solvent,concentration,experiment,z%,ligand_ID
261,n-BuZnBr,2,173593-25-4,70,5,3,THF,0.2,Zell_appendix,0.86,67
263,n-BuZnBr,2,18437-78-0,25,5,3,THF,0.2,Zell_appendix,0.1,61
264,n-PrZnBr,3,672937-60-9,50,5,3,THF,0.17,Zell_appendix,0.88,44
266,n-PrZnBr,2,18437-78-0,50,5,3,THF,0.2,Zell_appendix,0.15,61
274,n-BuZnBr,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.17,61
275,n-PrZnBr,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.21,61
276,sec-BuZnBr,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.48,61
277,i-PrMgCl,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.25,61
278,n-BuMgBr,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.28,61
279,i-PrMgCl_LiCl,2,18437-78-0,40,5,3,THF,0.2,Prelim_3,0.24,61
280,n-BuZnBr,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.66,69
281,n-PrZnBr,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.81,69
282,sec-BuZnBr,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.67,69
283,i-PrMgCl,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.45,69
284,n-BuMgBr,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.52,69
285,i-PrMgCl_LiCl,2,40438-64-0,40,5,3,THF,0.2,Prelim_3,0.43,69
293,n-PrZnBr,2,18437-78-0,70,5,3,THF,0.2,Prelim_3,0.23,61
294,sec-BuZnBr,2,18437-78-0,70,5,3,THF,0.2,Prelim_3,0.48,61
295,i-PrMgCl,2,18437-78-0,70,5,3,THF,0.2,Prelim_3,0.29,61
296,n-BuMgBr,2,18437-78-0,70,5,3,THF,0.2,Prelim_3,0.3,61
297,i-PrMgCl_LiCl,2,18437-78-0,70,5,3,THF,0.2,Prelim_3,0.29,61
298,n-BuZnBr,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.8,69
299,n-PrZnBr,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.81,69
300,sec-BuZnBr,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.72,69
301,i-PrMgCl,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.55,69
302,n-BuMgBr,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.56,69
303,i-PrMgCl_LiCl,2,40438-64-0,70,5,3,THF,0.2,Prelim_3,0.47,69
47,n-BuZnBr,2,855-38-9,70,5,3,THF,0.1,Global Monophosphine,0.22,62
49,n-BuZnBr,2,564483-18-7,70,5,3,THF,0.1,Global Monophosphine,0.495,1
50,n-BuZnBr,2,2234-97-1,70,5,3,THF,0.1,Global Monophosphine,0.355,83
51,n-BuZnBr,2,894086-00-1,70,5,3,THF,0.1,Global Monophosphine,0.55,292
52,n-BuZnBr,2,14540-52-4,70,5,3,THF,0.1,Global Monophosphine,0.65,873
54,n-BuZnBr,2,173593-25-4,70,5,3,THF,0.1,Global Monophosphine,0.85,67
58,n-BuZnBr,2,110231-30-6,70,5,3,THF,0.1,Global Monophosphine,0.35,262
59,n-BuZnBr,2,255835-82-6,70,5,3,THF,0.1,Global Monophosphine,0.5700000000000001,302
60,n-BuZnBr,2,32673-25-9,70,5,3,THF,0.1,Global Monophosphine,0.51,31
61,n-BuZnBr,2,20491-53-6,70,5,3,THF,0.1,Global Monophosphine,0.355,1494
62,n-BuZnBr,2,1242759-01-8,70,5,3,THF,0.1,Global Monophosphine,0.535,734
63,n-BuZnBr,2,72954-06-4,70,5,3,THF,0.1,Global Monophosphine,0.46,331
64,n-BuZnBr,2,2622-08-4,70,5,3,THF,0.1,Global Monophosphine,0.255,394
66,n-BuZnBr,2,224311-51-7,70,5,3,THF,0.1,Global Monophosphine,0.505,42
70,n-BuZnBr,2,15573-38-3,70,5,3,THF,0.1,Global Monophosphine,0.545,110
71,n-BuZnBr,2,1373432-09-7,70,5,3,THF,0.1,Global Monophosphine,0.505,723
72,n-BuZnBr,2,1262046-34-3,70,5,3,THF,0.1,Global Monophosphine,0.51,103
73,n-BuZnBr,2,4023-53-4,70,5,3,THF,0.1,Global Monophosphine,0.415,137
75,n-BuZnBr,2,443965-10-4,70,5,3,THF,0.1,Global Monophosphine,0.31,498
76,n-BuZnBr,2,67746-43-4,70,5,3,THF,0.1,Global Monophosphine,0.29,650
78,n-BuZnBr,2,18298-00-5,70,5,3,THF,0.1,Global Monophosphine,0.31,611
79,n-BuZnBr,2,31570-04-4,70,5,3,THF,0.1,Global Monophosphine,0.67,191
80,n-BuZnBr,2,607-01-2,70,5,3,THF,0.1,Global Monophosphine,0.33,73
81,n-BuZnBr,2,16704-71-5,70,5,3,THF,0.1,Global Monophosphine,0.255,489
83,n-BuZnBr,2,66470-81-3,70,5,3,THF,0.1,Global Monophosphine,0.4,658
86,n-BuZnBr,2,108554-72-9,70,5,3,THF,0.1,Global Monophosphine,0.515,655
88,n-BuZnBr,2,1166994-77-9,70,5,3,THF,0.1,Global Monophosphine,0.83,715
90,n-BuZnBr,2,49676-42-8,70,5,3,THF,0.1,Global Monophosphine,0.4599999999999999,196
91,n-BuZnBr,2,82372-35-8,70,5,3,THF,0.1,Global Monophosphine,0.235,640
92,n-BuZnBr,2,1031-93-2,70,5,3,THF,0.1,Global Monophosphine,0.21,117
93,n-BuZnBr,2,312959-24-3,70,5,3,THF,0.1,Global Monophosphine,0.275,330
107,n-BuZnBr,2,603-35-0,40,5,3,THF,0.1,Focused Monophosphine,0.15,17
110,n-BuZnBr,2,739-58-2,40,5,3,THF,0.1,Focused Monophosphine,0.19,116
112,n-BuZnBr,2,1447963-71-4,40,5,3,THF,0.1,Focused Monophosphine,0.345,732
113,n-BuZnBr,2,6372-42-5,40,5,3,THF,0.1,Focused Monophosphine,0.435,162
115,n-BuZnBr,2,13885-09-1,40,5,3,THF,0.1,Focused Monophosphine,0.565,212
116,n-BuZnBr,2,71501-08-1,40,5,3,THF,0.1,Focused Monophosphine,0.335,456
117,n-BuZnBr,2,189756-42-1,40,5,3,THF,0.1,Focused Monophosphine,0.295,566
130,n-BuZnBr,2,2097604-73-2,40,5,3,THF,0.1,Focused Monophosphine,0.695,171
135,n-BuZnBr,2,251320-86-2,40,5,3,THF,0.1,Focused Monophosphine,0.455,277
136,n-BuZnBr,2,240417-00-9,40,5,3,THF,0.1,Focused Monophosphine,0.345,278
137,n-BuZnBr,2,213697-53-1,40,5,3,THF,0.1,Focused Monophosphine,0.3,263
138,n-BuZnBr,2,1067883-58-2,40,5,3,THF,0.1,Focused Monophosphine,0.31,329
139,n-BuZnBr,2,2097604-67-4,40,5,3,THF,0.1,Focused Monophosphine,0.515,158
140,n-BuZnBr,2,247940-06-3,40,5,3,THF,0.1,Focused Monophosphine,0.6,5
141,n-BuZnBr,2,5525-95-1,40,5,3,THF,0.1,Focused Monophosphine,0.4,125
155,n-BuZnBr,2,603-35-0,70,5,3,THF,0.1,Focused Monophosphine,0.19,17
157,n-BuZnBr,2,23039-94-3,70,5,3,THF,0.1,Focused Monophosphine,0.13,133
158,n-BuZnBr,2,739-58-2,70,5,3,THF,0.1,Focused Monophosphine,0.215,116
161,n-BuZnBr,2,6372-42-5,70,5,3,THF,0.1,Focused Monophosphine,0.45,162
163,n-BuZnBr,2,13885-09-1,70,5,3,THF,0.1,Focused Monophosphine,0.545,212
165,n-BuZnBr,2,189756-42-1,70,5,3,THF,0.1,Focused Monophosphine,0.32,566
178,n-BuZnBr,2,2097604-73-2,70,5,3,THF,0.1,Focused Monophosphine,0.64,171
180,n-BuZnBr,2,321921-71-5,70,5,3,THF,0.1,Focused Monophosphine,0.395,10
181,n-BuZnBr,2,1023330-38-2,70,5,3,THF,0.1,Focused Monophosphine,0.555,38
182,n-BuZnBr,2,672937-60-9,70,5,3,THF,0.1,Focused Monophosphine,0.81,44
183,n-BuZnBr,2,251320-86-2,70,5,3,THF,0.1,Focused Monophosphine,0.47,277
184,n-BuZnBr,2,240417-00-9,70,5,3,THF,0.1,Focused Monophosphine,0.35,278
185,n-BuZnBr,2,213697-53-1,70,5,3,THF,0.1,Focused Monophosphine,0.325,263
186,n-BuZnBr,2,1067883-58-2,70,5,3,THF,0.1,Focused Monophosphine,0.35,329
188,n-BuZnBr,2,247940-06-3,70,5,3,THF,0.1,Focused Monophosphine,0.575,5
267,n-BuZnBr,2,18437-78-0,50,5,3,THF,0.2,Zell_appendix,0.13,61
189,n-BuZnBr,2,5525-95-1,70,5,3,THF,0.1,Focused Monophosphine,0.38,125
1E1,n-BuZnBr,2,603-35-0,30,5,2,CPME,0.2,1E,0.14,17
1E2,n-BuZnBr,2,603-35-0,30,5,3,dibutyl ether,0.2,1E,0.13,17
